Hindi Sentence, Marathi Sentence
मैं हर सुबह जल्दी उठता हूँ और सबसे पहले योग करता हूँ क्योंकि यह मेरे शरीर और मन को शांत करता है।, मी प्रत्येक सुमारे जल्दी उठतो आणि प्रत्येक सुमारे योग करतो कारण ते माझ्या शरीर आणि मनाला शांत करते.
आज विद्यालय में विज्ञान प्रदर्शनी का आयोजन किया गया था जहाँ बच्चों ने रोबोटिक्स और अंतरिक्ष विज्ञान पर अद्भुत मॉडल प्रस्तुत किए।, आज विद्यापीठात विज्ञान प्रदर्शनी आयोजित केली होती ज्यात मुलांनी रोबोटिक्स आणि अंतराळ विज्ञानावर अद्भुत मॉडल प्रस्तुत केले.
मेरे दादाजी मुझे हर रात सोने से पहले कहानियाँ सुनाते हैं जिनमें हमेशा कोई नैतिक शिक्षा होती है।, माझ्या दादाजी माझ्या कुटुंबाला प्रत्येक रात सोण्यापूर्वी काही नैतिक शिक्षण असते, ज्यात आपल्याला नैतिक शिक्षण असते.
बारिश के मौसम में गर्म चाय और पकौड़ों का स्वाद कुछ अलग ही आनंद देता है विशेष रूप से जब आप अपने परिवार के साथ हों।, बारिशाच्या मौसमात गर्म चाय आणि पकौडांचा स्वाद काही अलगच आनंद देतो विशेषतः जर तुमच्या कुटुंबाशी राहू शकतो.
हमने पिछली गर्मियों की छुट्टियों में मनाली की यात्रा की थी जहाँ बर्फ से ढके पहाड़ और सुंदर वादियाँ देखने को मिलीं।, आम्ही गेल्या काळात मनाली यांची भेट घेतली होती ज्यात बर्फातून ढले पहाड़ आणि सुंदर वादियांना पाहण्यास मिळाली.
भारतीय त्योहारों की बात ही कुछ और है हर त्योहार में एक विशेष रंग और उमंग होती है जो लोगों को जोड़ती है।, भारतीय त्योहारांची बातही काही आणि आहे, प्रत्येक त्योहारात एक विशेष रंग आणि उमंग असते.
कल मेरी बहन की शादी थी और पूरा घर मेहमानों से भरा हुआ था हर कोई खुशियों में डूबा हुआ था।, आज माझ्या बहनची शादी होती आणि पूरा घर माझ्या कुटुंबातून भरा झाला होता, प्रत्येक कोणत्याही खुशांमध्ये डूबा झाला होता.
मैंने हाल ही में 'गोदान' उपन्यास पढ़ा है जो भारतीय ग्रामीण जीवन की सच्चाई को बहुत ही गहराई से दर्शाता है।, माझ्या काळात'गोदान'उपन्यास लिहिले आहे, जो भारतीय ग्रामीण जीवनाची सच्चाई मोठ्या प्रमाणात दर्शवते.
पढ़ाई के साथ-साथ खेल कूद भी जरूरी है क्योंकि यह शरीर को स्वस्थ और मन को ताजगी प्रदान करता है।, शिक्षण आणि खेळ देखील आवश्यक आहे, परंतु हा शरीर स्वस्थ आणि मनाला ताजगी देतो.
हमारा देश विविधताओं से भरा हुआ है यहाँ हर राज्य की अपनी एक अलग संस्कृति भाषा और परंपरा है।, आपला देश विविधतेपासून भरले आहे, ज्यात प्रत्येक राज्याची एक अलग संस्कृती आणि परंपरा आहे.
मैं अपने दोस्तों के साथ हर रविवार को पार्क में क्रिकेट खेलता हूँ और उसके बाद हम आइसक्रीम खाते हैं।, मी आपल्या मित्रांसोबत प्रत्येक रविवार रोजी पार्कमध्ये क्रिकेट खेळतो आणि त्यानंतर आम्ही आइसक्रीम खातो.
पुस्तकें हमारे सबसे अच्छे मित्र होती हैं क्योंकि ये हमें ज्ञान के साथ-साथ मनोरंजन भी प्रदान करती हैं।, पुस्तके आपल्या सर्वात मोठी मित्र असतात, ज्यामुळे हे आपल्याला ज्ञानासोबत मनोरंजनही देतात.
परीक्षा के समय तनाव को कम करने के लिए ध्यान और सही समय प्रबंधन आवश्यक होता है।, परीक्षेच्या काळात तनाव कमी करण्यासाठी ध्यान आणि सही समय प्रबंधन आवश्यक आहे.
मेरे पिताजी बहुत मेहनती हैं और उन्होंने हमेशा मुझे ईमानदारी और लगन से काम करने की प्रेरणा दी है।, माझ्या पिताजी खूप मोठे आहेत आणि त्यांनी आपल्याला ईमानदारी आणि लगनाने काम करण्याची प्रेरणा दिली आहे.
कल मैंने एक वृक्षारोपण अभियान में भाग लिया जहाँ हमने स्कूल के सामने कई पौधे लगाए।, आज मी एक वृक्षारोपण अभियानात भाग घेतला जेथे आम्ही स्कूलातील अनेक पौधे लगावले.
माँ का खाना सबसे स्वादिष्ट होता है क्योंकि उसमें प्यार और देखभाल की मिठास होती है।, माझे खाणे सर्वात स्वादिष्ट असते जेणेकरून त्यात प्रेम आणि देखभालची मिठास असते.
मैंने अपने स्कूल प्रोजेक्ट के लिए जल संरक्षण पर एक विस्तृत रिपोर्ट तैयार की है।, मी त्यांच्या स्कूल प्रोजेक्टसाठी जल संवर्धनावर विस्तृत माहिती तयार केली आहे.
जब मैं छोटा था तब मैं अपने दादाजी के साथ खेतों में जाया करता था और हल चलाने में मदद करता था।, जेव्हा मी छोटा होता तेव्हा मी त्याच्या दादाजीसोबत खेतीत जातो आणि हलचल करण्यास मदत करतो.
पिछले सप्ताह हमने अपने समाज में सफाई अभियान चलाया और सभी लोगों ने मिलकर रास्तों की सफाई की।, नुकतेच आम्ही आपल्या समाजात सफाई अभियान सुरू केले आणि सर्व लोकांनी मिलून रास्तांची सफाई केली.
हर व्यक्ति को अपने जीवन में कुछ लक्ष्य निर्धारित करना चाहिए और उसे पाने के लिए कड़ी मेहनत करनी चाहिए।, प्रत्येक व्यक्तीला त्याच्या जीवनात काही उद्दिष्ट निर्धारित करणे आवश्यक आहे आणि त्याला पाडण्यासाठी कठीण प्रयत्न करणे आवश्यक आहे.
मैंने आज एक बहुत ही प्रेरणादायक फिल्म देखी जो आत्मविश्वास और कड़ी मेहनत की ताकत को दर्शाती है।, मी आज एक खूप प्रेरणादायी चित्रपट पाहिली जे आत्मविश्वास आणि कठीण मेहनतीची ताकद दर्शवते.
मेरी बहन चित्रकला में बहुत प्रतिभाशाली है उसने हमारे घर की दीवारों पर सुंदर चित्र बनाए हैं।, माझ्या मुलगी चित्रकलामध्ये खूप प्रतिभाशाली आहे, त्याने आपल्या घराच्या दीवारांवर सुंदर चित्र दिले आहेत.
हर साल हम अपने गांव जाते हैं जहाँ हम अपने दादा-दादी के साथ समय बिताते हैं और खेतों की सैर करते हैं।, प्रत्येक वर्ष आपण आपल्या गावात जातो जेथे आपण आपल्या दादा-दादीसोबत समय घेतो आणि खेतीची सैर करतो.
प्रकृति की सुंदरता को महसूस करने के लिए सुबह की सैर सबसे अच्छा तरीका है।, प्रजासत्ताकांच्या सुंदरतेला महसूस करण्यासाठी सुमारेच्या सैर सर्वात चांगले उपाय आहे.
शहरों की तुलना में गाँवों में जीवन शांत और प्राकृतिक होता है जहाँ लोग एक-दूसरे की मदद करते हैं।, शहरांच्या तुलनेत गावेमध्ये जीवन शांत आणि प्राकृतिक असते ज्यात लोक एकाच वेळी मदत करतात.
हर बच्चे को शिक्षा का अधिकार होना चाहिए ताकि वह अपने जीवन में सफल हो सके।, प्रत्येक मुलाला शिक्षणाचे अधिकार असले पाहिजे जेणेकरून तो त्याच्या जीवनात सफल होईल.
मैंने अपने स्कूल के वार्षिकोत्सव में नाटक में भाग लिया और सभी ने मेरी अभिनय की तारीफ की।, मी माझ्या स्कूलच्या वार्षिकोत्सवात नाटकात भाग घेतला आणि सर्वांनी माझ्या अभिनयाची तारीफ केली.
मुझे पहाड़ों में घूमना बहुत पसंद है क्योंकि वहाँ की हवा दृश्य और शांति दिल को सुकून देती है।, माझ्याला पहाड़ांमध्ये घेणे खूप पसंद आहे, परंतु त्यांच्या हवा दृश्य आणि शांतता दिलाला सुकून देते.
हमने स्वतंत्रता दिवस बड़े हर्षोल्लास के साथ मनाया बच्चों ने देशभक्ति गीत गाए और झंडा फहराया।, आपण स्वातंत्र्यदिनी मोठ्या हर्षोल्लाशी मनले बहिणींनी देशभक्ती गीत गावले आणि झंडा फहराला.
मैं हर रात सोने से पहले एक प्रेरणादायक पुस्तक का अध्याय पढ़ता हूँ जो मुझे अगले दिन के लिए ऊर्जा देता है।, मी प्रत्येक रात सोडण्यापूर्वी एक प्रेरणादायी पुस्तकाचा अध्याय लिहितो जे माझ्या अगदी दिवसासाठी ऊर्जा देतो.
जब भी मुझे कोई समस्या आती है मैं अपने माता-पिता से सलाह लेता हूँ क्योंकि उनका अनुभव बहुत महत्वपूर्ण होता है।, जर मला कोणतीही समस्या येते, मी त्याच्या माता-पितेशी सल्ला घेतो कारण त्यांचे अनुभव खूप महत्त्वाचे आहे.
आज मेरी माँ ने आलू पराठा और दही बनाया था जो बहुत स्वादिष्ट था।, आज माझ्या आईने आलू पराठा आणि दही बनवले होते जे खूप स्वादिष्ट होते.
हर व्यक्ति को पर्यावरण की रक्षा के लिए कुछ न कुछ प्रयास अवश्य करने चाहिए।, प्रत्येक व्यक्तीला पर्यावरणाच्या संरक्षणासाठी काहीही प्रयत्न करू शकत नाही.
मैंने हाल ही में एक पक्षी विहार का दौरा किया जहाँ मैंने कई रंग-बिरंगे पक्षियों को देखा।, मी हालहीमध्ये एक पक्षी विहारचा दौरा केला ज्यात मी अनेक रंग-बिरंगे पक्षांना पाहिले.
स्वास्थ्य ही सबसे बड़ा धन है और इसे बनाए रखने के लिए संतुलित आहार और व्यायाम जरूरी है।, स्वास्थ्य हा सर्वात मोठा धन आहे आणि त्याला ठेवण्यासाठी संतुलित आहार आणि व्यायाम आवश्यक आहे.
विद्यालय में हमें हमेशा समय का महत्व सिखाया जाता है क्योंकि समय की बर्बादी सफलता की राह में बाधा है।, विद्यालयात आपल्याला प्रत्येक वेळी समयचे महत्त्व दिले जाते, जेणेकरून समयचे महत्त्व सफलतेच्या राहात बाधा आहे.
मैंने अपने छोटे भाई को साइकिल चलाना सिखाया और अब वह हर शाम पार्क में सवारी करता है।, मी माझ्या छोट्या वडिलांना साइकिल चालवण्याचे आणि आता तो प्रत्येक शाम पार्कमध्ये सवारी करतो.
कल स्कूल में भाषण प्रतियोगिता थी जिसमें मैंने स्वच्छता पर भाषण दिया और प्रथम पुरस्कार प्राप्त किया।, कलम स्कूलमध्ये भाषण प्रतियोगिता होती ज्यात मी स्वच्छतेवर भाषण दिला आणि प्रथम पुरस्कार मिळवले.
संगीत मेरी आत्मा को छूता है और जब भी मैं उदास होता हूँ मैं अपना पसंदीदा गाना सुनता हूँ।, संगीत माझ्या आत्माला छूतो आणि जेव्हा मी उदास होतो, मी माझ्या पसंदीदा गाणी सुनतो.
हर वर्ष हम गणतंत्र दिवस पर अपने विद्यालय में सांस्कृतिक कार्यक्रम आयोजित करते हैं।, प्रत्येक वर्ष आपण स्वातंत्र्यदिनी आपल्या विद्यापीठात सांस्कृतिक कार्यक्रम आयोजित करतो.
आज मैंने पहली बार बटर नान और शाही पनीर खाया उसका स्वाद आज भी याद है।, आज मी पहिल्यांदा बटर नान आणि शाही पनीर खाले त्याचा स्वाद आजही याद आहे.
मैंने अपने जीवन में कभी झूठ नहीं बोलने की कसम खाई है क्योंकि सच्चाई सबसे बड़ी ताकत होती है।, मी आपल्या जीवनात कधीही झूठ बोलण्याची कसम खाली आहे, परंतु सच्चाई सर्वात मोठी शक्ती असते.
प्रकृति का संरक्षण करना हम सबकी जिम्मेदारी है क्योंकि यही हमारी आने वाली पीढ़ियों का आधार है।, प्रजासत्ताक संवर्धन करणे आपल्या सर्वात जबाबदारी आहे, जेणेकरून हे आपल्या आलेल्या पिढ्यांचे आधार आहे.
मेरे शिक्षक हमेशा मुझे प्रेरित करते हैं और कहते हैं कि निरंतर प्रयास से ही सफलता मिलती है।, माझ्या शिक्षक मला प्रेरित करतात आणि म्हणतात की निरंतर प्रयत्नापासून सफलता मिळते.
मैंने आज एक किताब पढ़ी जिसमें भारतीय स्वतंत्रता संग्राम के वीरों की कहानियाँ थीं।, मी आज एक किताब लिहिली ज्यात भारतीय स्वातंत्र्य संग्रामातील वीरांची कथा होती.
जब भी मुझे समय मिलता है मैं अपने बगीचे में पौधों की देखभाल करता हूँ और नए फूल लगाता हूँ।, जर मला समय मिळतो, मी त्याच्या बगीचेमध्ये पौधांची देखभाल करतो आणि नवीन फूल लगातो.
पढ़ाई के साथ-साथ आत्मविकास भी जरूरी है ताकि हम एक बेहतर इंसान बन सकें।, शिक्षण आणि आत्मविकासही आवश्यक आहे जेणेकरून आपण एक चांगला शेतकरी बनू शकतो.
मैं अपने दोस्तों के साथ मिलकर एक विज्ञान प्रोजेक्ट पर काम कर रहा हूँ जो जल शुद्धिकरण से संबंधित है।, मी माझ्या मित्रांसोबत एक विज्ञान प्रकल्पावर काम करत आहे जे जल शुद्धिकरणाशी संबंधित आहे.
हम सबको मिलकर एक ऐसा समाज बनाना चाहिए जहाँ सभी को समान अवसर मिलें और कोई भेदभाव न हो।, आपण सर्वांना एक ऐसा समाज बनवणे आवश्यक आहे ज्यात सर्वांना समान संधी मिळतील आणि कोणत्याही भेदभाव नसेल.
मुझे इतिहास पढ़ना बहुत पसंद है क्योंकि इससे मुझे हमारे देश की समृद्ध संस्कृति और वीर गाथाओं के बारे में जानने को मिलता है।, माझ्या देशाची समृद्ध संस्कृती आणि वीर गाथाबद्दल माहिती मिळते, परंतु त्यामुळे माझ्या देशाची समृद्ध संस्कृती आणि वीर गाथाबद्दल माहिती मिळते.
